# Rime user dictionary
#@/db_name	ounei_test
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	1996
#@/user_id	TAKUSEI-DESKTOP
b;[bh 	病	c=1 d=1 t=817
kf[vo d;[gp 	肯定	c=2 d=1.00065 t=1932
kf[vo d;[gp ui[op 	肯定是	c=1 d=1 t=1109
kh[xg kl[xg 	慷慨	c=1 d=1 t=58
kj[fm 	看	c=0 d=0.1 t=567
kj[fm bu[eu ds[xc 	看不懂	c=1 d=1 t=482
kj[fm dk[hd 	看到	c=5 d=1.55079 t=1994
kj[fm dk[hd go[cz 	看到過	c=1 d=1 t=1171
kj[fm kj[fm 	看看	c=1 d=1 t=1262
kj[fm ya[fo 	看押	c=1 d=1 t=813
kj[fm yi[hh kj[fm 	看一看	c=2 d=1.24537 t=723
kj[tq yb[xy 	堪憂	c=1 d=1 t=1087
kl[hc fa[vy 	開發	c=7 d=1.58892 t=1582
kl[hc fa[vy hr[wb j;[tl 	開發環境	c=1 d=1 t=1781
kl[hc hv[re 	開會	c=1 d=1 t=180
kl[hc qi[hk 	開啓	c=1 d=1 t=347
kl[hc ui[ns 	開始	c=4 d=2.35507 t=1868
kp[wa nj[yv 	困難	c=0 d=0.1 t=685
ks[xg jm[mo 	空間	c=1 d=0.104562 t=1179
ku[gi 	庫	c=2 d=1.64082 t=1826
l;[kl yi[hh ge[ru 	另一個	c=1 d=1 t=381
l;[ry dk[kc 	領導	c=1 d=1 t=987
l;[ry xm[ne 	領先	c=1 d=1 t=1128
la[fl kh[gx 	拉康	c=1 d=1 t=135
lc[vu bu[eu qi[zk 	了不起	c=1 d=1 t=840
ld[da 	梁	c=1 d=1 t=1278
ld[hk ci[dd 	兩次	c=1 d=1 t=435
ld[hk nm[rn 	兩年	c=1 d=1 t=458
ld[hk vi[kb 	兩隻	c=0 d=0.1 t=361
ld[hk vi[kb ub[su 	兩隻手	c=2 d=1.98511 t=365
ld[hk vs[hv 	兩種	c=2 d=1.38868 t=1748
ld[oh ci[yv 	量詞	c=2 d=1.956 t=445
ld[oh hw[rq 	量化	c=1 d=1 t=793
le[px yu[eu vu[ql rf[pd 	樂於助人	c=1 d=1 t=89
li[hd ys[ou 	利用	c=1 d=1 t=1755
li[il ui[ki 	歷史	c=3 d=2.86993 t=166
li[ml 	粒	c=1 d=1 t=1300
li[ot 	裏	c=1 d=1 t=1616
li[rh ru[nk 	例如	c=1 d=1 t=1735
li[rh zi[lh 	例子	c=1 d=1 t=739
li[uv bl[fh 	禮拜	c=1 d=1 t=818
li[vp 	力	c=1 d=1 t=1576
li[wo iu[ck 	理出	c=0 d=0.1 t=1741
li[wo jx[dd 	理解	c=3 d=2.5047 t=637
li[wo lp[yr uh[bh 	理論上	c=0 d=0.1 t=1645
li[wo lp[yr uh[bh uo[yb 	理論上說	c=1 d=1 t=1646
lj[hb 	爛	c=0 d=0.1 t=1095
lj[hb da[hr jx[rt 	爛大街	c=1 d=1 t=1096
lk[tb ui[uh 	老師	c=10 d=4.05487 t=1048
ll[hm uo[yb 	來說	c=0 d=0.1 t=1774
ll[hm ys[ou 	來用	c=2 d=1.79453 t=941
lo[cd di[ty 	落地	c=1 d=1 t=1112
lp[yr wf[wi 	論文	c=1 d=1 t=1014
lq[dw ds[el zi[db jn[rw 	流動資金	c=1 d=1 t=98
lq[dw ig[hk 	流程	c=1 d=1 t=556
ls[ye rf[pd 	聾人	c=18 d=5.36901 t=1244
lu[zw j;[rs 	路徑	c=6 d=4.55553 t=1894
lx[hd si[qj 	列斯	c=1 d=1 t=306
lz[md 	類	c=1 d=1 t=1904
lz[md si[rs 	類似	c=1 d=1 t=307
lz[md x;[kt 	類型	c=4 d=3.6748 t=1957
m;[xk oe[gy 	名額	c=1 d=1 t=128
mf[du kj[au 	門檻	c=1 d=1 t=7
mf[rm 	們	c=2 d=1.38868 t=828
ml[ud iu[ck 	賣出	c=1 d=1 t=84
mm[dk fz[fb 	免費	c=1 d=1 t=809
mo[ac tl[dd 	模太	c=1 d=1 t=1509
mo[ac tl[dx 	模態	c=1 d=1 t=1624
mo[ac ui[qg 	模式	c=4 d=3.49617 t=1804
mo[ac x;[kt 	模型	c=3 d=1.66813 t=1455
mo[co tl[su 	莫泰	c=1 d=1 t=1508
mo[hq rf[yr 	默認	c=1 d=1 t=1777
mu[ac bj[ap 	模板	c=1 d=1 t=1451
mu[we bc[ae 	目標	c=1 d=1 t=990
mu[we lu[xu 	目錄	c=3 d=2.8167 t=1879
mu[we qm[bo 	目前	c=2 d=1.03354 t=1063
mz[dj 	沒	c=0 d=0.1 t=900
mz[dj bj[lb fa[dt 	沒辦法	c=1 d=1 t=866
mz[dj fa[dt 	沒法	c=2 d=1.01343 t=1504
mz[dj gr[bt xi[py 	沒關係	c=1 d=1 t=652
mz[dj rf[pd 	沒人	c=0 d=0.1 t=1125
mz[dj rf[pd zl[ut zo[rg 	沒人在做	c=1 d=1 t=1126
mz[dj rf[rq ys[ou 	沒任用	c=1 d=1 t=901
mz[dj yb[uo 	沒有	c=12 d=2.51045 t=1691
mz[dj yb[uo qm[jj 	沒有錢	c=1 d=1 t=71
mz[dj yb[uo rf[pd 	沒有人	c=1 d=1 t=1199
mz[ng ti[ra 	媒體	c=4 d=1.98197 t=1135
mz[rm 	每	c=2 d=1.85642 t=1596
mz[rm ge[ru 	每個	c=0 d=0.1 t=1045
mz[rm ge[ru ci[yv 	每個詞	c=1 d=1 t=1046
mz[rm ge[ru rf[pd 	每個人	c=1 d=1 t=873
mz[rm tm[hd 	每天	c=1 d=1 t=47
na[kv 	哪	c=1 d=1 t=484
na[kv xx[ve 	哪些	c=2 d=1.05182 t=1075
na[rf dk[hd 	拿到	c=1 d=1 t=898
na[rf jd[dd 	拿獎	c=1 d=1 t=945
na[ve ge[ru 	那個	c=1 d=1 t=1637
na[ve me[ps 	那麼	c=1 d=1 t=1211
na[ve me[ps do[xx 	那麼多	c=1 d=1 t=1216
na[ve tk[di 	那套	c=1 d=1 t=1406
na[ve tm[hd 	那天	c=1 d=1 t=1050
na[ve wz[rl 	那位	c=1 d=1 t=310
ng[sb 	能	c=0 d=0.1 t=1296
ng[sb bu[eu ng[sb 	能不能	c=2 d=1.29523 t=261
ng[sb li[vp 	能力	c=2 d=1.45841 t=1638
ng[sb ys[ou 	能用	c=2 d=1.98511 t=836
ni[fs he[rh 	擬合	c=1 d=1 t=1466
ni[rd 	你	c=0 d=0.1 t=1929
ni[rd he[hk 	你和	c=1 d=1 t=1465
ni[rd hk[nz 	你好	c=1 d=1 t=12
ni[rd jd[dx 	你將	c=1 d=1.1 t=1992
ni[rd jd[dx hv[re 	你將會	c=1 d=1 t=1993
ni[rd ke[dk yi[sr 	你可以	c=3 d=2.2648 t=1891
ni[rd me[ps 	你麼	c=1 d=1 t=1371
ni[rd mf[rm 	你們	c=2 d=1.99005 t=1374
ni[rd xd[ax 	你想	c=1 d=1 t=1963
ni[rd xu[ye yk[xn 	你需要	c=1 d=1 t=1827
ni[rd ye[vu 	你也	c=1 d=1.09501 t=1822
ni[rd ye[vu ke[dk ng[sb 	你也可能	c=1 d=1 t=1823
ni[rd yi[hh d;[gp hv[re 	你一定會	c=1 d=1 t=1930
nj[uk 	南	c=1 d=1 t=29
nz[kr cp[uz 	內存	c=1 d=1 t=1758
nz[kr rs[xr 	內容	c=2 d=1.01203 t=1159
oa[ke oa[ke 	啊啊	c=3 d=2.96042 t=1679
oj[fg nq[ji 	按鈕	c=1 d=1 t=342
oj[gn pl[ff 	安排	c=1 d=1 t=402
ol[au 	愛	c=1 d=1 t=66
ol[au xn[dv 	愛心	c=1 d=1 t=1106
oo[kp oo[kp 	哦哦	c=1 d=1 t=1677
or[ek bu[eu ui[op 	而不是	c=2 d=1.01228 t=1335
or[hh ub[su 	二手	c=1 d=1 t=85
oz[sd oz[sd 	欸欸	c=2 d=1.98511 t=1678
p;[hb jp[tb 	平均	c=1 d=1 t=210
p;[ub 	屏	c=1 d=1 t=1161
p;[yp gu[rg 	評估	c=2 d=1.92312 t=188
pc[xf sj[gw 	飄散	c=1 d=1 t=112
pg[oo yb[uy 	朋友	c=4 d=2.27447 t=1146
pi[fb ld[oh 	批量	c=1 d=1 t=1266
pi[fb p;[yp 	批評	c=1 d=1 t=45
pi[ub 	屁	c=1 d=1.06219 t=138
pj[bd dr[mj 	判斷	c=2 d=1.75957 t=424
pk[gb d;[hu jx[dd nq[pf 	庖丁解牛	c=1 d=1 t=514
pl[fb 	拍	c=3 d=1.16857 t=1153
pl[ff ia[ao 	排查	c=1 d=1 t=1492
pn[fb hj[gd 	貧寒	c=0 d=0.1 t=86
q;[df xi[dn 	清洗	c=7 d=1.26586 t=1181
q;[fo 	青	c=2 d=1.9802 t=37
q;[xf kd[dk 	情況	c=2 d=1.38481 t=1791
q;[xf kd[dk xw[hb 	情況下	c=2 d=1.58275 t=127
q;[yf vu[dd yi[lx 	請注意	c=1 d=1 t=1977
qi[cb ui[gd 	其實	c=3 d=1.03269 t=1796
qi[kq 	器	c=1 d=0.222456 t=1753
qi[rv ye[ub 	企業	c=1 d=1 t=825
qi[zk 	起	c=0 d=0.1 t=1122
qi[zk ll[hm 	起來	c=1 d=1 t=518
qm[bo 	前	c=0 d=0.1 t=77
qm[bo dr[lu 	前端	c=1 d=1 t=299
qm[bo hb[pk 	前後	c=1 d=1 t=1502
qm[de x;[rh 	潛行	c=1 d=1 t=108
qm[jj 	錢	c=4 d=1.38953 t=1234
qp[xy ti[ra 	羣體	c=1 d=1 t=778
qr[rw go[ww 	全國	c=1 d=1 t=860
qr[rw ui[nv jx[tr 	全世界	c=1 d=1 t=1057
qr[rw zi[pm ds[el 	全自動	c=2 d=1.96561 t=405
qr[wb 	圈	c=0 d=0.1 t=982
qs[xl gv[be 	窮鬼	c=1 d=1 t=1642
qt[ed d;[gp 	確定	c=2 d=0.234647 t=1188
qt[ed d;[gp hk[nz 	確定好	c=1 d=1 t=1184
qt[ed rf[yr 	確認	c=1 d=1 t=1191
qt[ed ui[gd 	確實	c=1 d=1 t=177
qu[da dk[bz 	渠道	c=1 d=1 t=974
qu[ki bx[kd 	區別	c=4 d=1.96452 t=1863
qu[ts 	去	c=0 d=0.1 t=1021
qu[ts nm[rn 	去年	c=1 d=1 t=1093
rf[pd gs[hu 	人工	c=1 d=1 t=728
rf[pd gs[hu vi[uo ng[sb 	人工智能	c=1 d=1 t=764
rf[pd lz[md 	人類	c=1 d=1 t=1104
rf[pd wj[we 	人玩	c=0 d=0.1 t=1716
rf[pd wz[dl 	人爲	c=2 d=1.27665 t=587
rf[pd yr[kb 	人員	c=1 d=1 t=822
rf[rq he[rk 	任何	c=2 d=1.00125 t=1967
rf[rq wu[wl 	任務	c=2 d=1.98511 t=287
rf[rq ys[ou 	任用	c=0 d=0.1 t=900
rf[yr vi[uk 	認知	c=1 d=1 t=578
rf[yr wz[dl 	認爲	c=1 d=1 t=588
rg[fn jn[ez 	扔進	c=1 d=1 t=615
rr[id jm[rn 	軟件	c=1 d=1 t=811
ru[nk go[oa 	如果	c=9 d=2.53367 t=1962
ru[pd bu[eu fu[fw iu[ck 	入不敷出	c=1 d=1 t=86
si[tx lu[zw 	思路	c=1 d=1 t=1361
si[we wu[hu 	四五	c=0 d=0.1 t=1573
si[we wu[hu tm[hd 	四五天	c=1 d=1 t=1574
sl[gb dk[bz 	賽道	c=1 d=1 t=1127
so[pj rf[rq 	所任	c=0 d=0.1 t=879
so[pj yb[uo 	所有	c=5 d=3.91224 t=601
so[pj yb[uo ds[qx xi[hk 	所有東西	c=1 d=1 t=336
so[pj yi[sr 	所以	c=2 d=1.01278 t=1392
so[pj zl[ut 	所在	c=2 d=1.85642 t=1878
sr[ce li[ml 	蒜粒	c=1 d=1 t=881
sr[vm fa[dt 	算法	c=3 d=2.27525 t=416
sr[vm li[ml 	算粒	c=1 d=1 t=1575
sr[vm vh[bi 	算賬	c=1 d=1 t=1665
sr[ys 	酸	c=1 d=1 t=1655
su[fy cl[ac 	素材	c=3 d=1.80273 t=1739
su[hz du[gn 	速度	c=2 d=1.0005 t=1772
sv[eu th[xt lm[sq xi[vd 	隨堂練習	c=1 d=1 t=134
ta[gb 	它	c=4 d=3.4781 t=1959
ta[ny 	她	c=2 d=1.92312 t=133
ta[ry 	他	c=1 d=1 t=116
ta[ry mf[rm 	他們	c=8 d=1.9965 t=1653
ta[ry mf[rm lw[rh 	他們倆	c=1 d=1 t=1657
tb[dd p;[ub 	頭屏	c=1 d=1 t=1259
tb[dd tg[bw 	頭疼	c=1 d=1 t=467
tb[dd ts[bs 	頭痛	c=1 d=1 t=468
tb[fj p;[ub 	投屏	c=1 d=1 t=1263
tb[fj ru[pd 	投入	c=2 d=1.00775 t=1133
tb[hz p;[hb 	透平	c=1 d=1 t=1258
tc[yk ui[yq 	調試	c=1 d=1.0956 t=1762
tc[yk ui[yq qi[kq 	調試器	c=1 d=1 t=1754
tc[yk vg[hh 	調整	c=2 d=1.00069 t=1787
tc[zv zk[yi ui[wj ih[tv 	跳蚤市場	c=1 d=1 t=50
te[nt uu[hp 	特殊	c=1 d=1 t=370
ti[eo dl[rq 	替代	c=1 d=1 t=1914
ti[fo 	提	c=1 d=1.0071 t=1525
ti[fo dk[hd 	提到	c=1 d=1 t=838
ti[fo gk[wk 	提高	c=3 d=1.00625 t=1770
ti[fo gs[rg 	提供	c=3 d=1.02056 t=1797
ti[fo qm[bo 	提前	c=1 d=1 t=1195
ti[fo qu[ey 	提取	c=4 d=3.30154 t=1407
ti[fo ug[pc 	提升	c=0 d=0.151427 t=1312
ti[fo ug[pc ks[xg jm[mo 	提升空間	c=1 d=1 t=1180
ti[fo uh[bh qu[ts 	提上去	c=1 d=1 t=997
ti[ra yj[mr 	體驗	c=1 d=1 t=20
tj[rb lj[an 	貪婪	c=1 d=1 t=57
tk[yc lp[yr 	討論	c=3 d=1.23382 t=1438
tk[yc lp[yr go[cz 	討論過	c=1 d=1 t=386
tl[dd do[xx 	太多	c=2 d=1.42741 t=1471
tl[dd gk[wk 	太高	c=1 d=1 t=1369
tl[dd uk[xp 	太少	c=1 d=1 t=1427
tl[fs qi[zk 	擡起	c=2 d=1.99501 t=364
tm[hd 	天	c=0 d=0.1 t=1573
ts[kh li[wo 	同理	c=1 d=1 t=1966
ts[kh ui[oc 	同時	c=4 d=1.14724 t=1444
ts[kh xt[xz 	同學	c=0 d=0.1 t=90
ts[kh yh[ay 	同樣	c=1 d=1 t=672
ts[sw yi[hh 	統一	c=1 d=1 t=593
ts[sz go[cz 	通過	c=4 d=2.08946 t=1905
ts[sz ih[xk 	通常	c=2 d=2.04739 t=1792
ts[sz ih[xk ll[hm uo[yb 	通常來說	c=1 d=1 t=1775
ts[sz ys[ou 	通用	c=3 d=2.37499 t=1042
tu[ww pm[pu 	圖片	c=3 d=2.65466 t=1738
tu[ww xd[rd 	圖像	c=2 d=1.99005 t=1356
tu[xq rj[xd 	突然	c=1 d=1 t=102
tv[fv 	推	c=1 d=1 t=1429
tv[fv ds[el 	推動	c=1 d=1 t=1021
tv[fv gd[di 	推廣	c=1 d=1 t=964
ua[kr 	啥	c=1 d=1 t=1486
ub[fa yu[sv 	授予	c=1 d=1 t=268
ub[su 	手	c=0 d=0.1 t=361
ub[su ji[aj 	手機	c=1 d=1 t=760
ub[su tb[dd 	手頭	c=1 d=1 t=1685
ub[su ui[fl 	手勢	c=1 d=1 t=372
ub[su yu[yw 	手語	c=24 d=3.13421 t=1609
ub[su yu[yw lk[tb ui[uh 	手語老師	c=1 d=1 t=449
ub[vw dk[hd 	收到	c=0 d=0.1 t=296
ub[vw ji[va 	收集	c=1 d=1 t=1611
ub[vw ui[fr 	收拾	c=1 d=1 t=371
ud[yy ji[fk 	雙擊	c=1 d=1 t=1837
ue[fe xd[rd tb[dd 	攝像頭	c=2 d=1.25411 t=631
ue[ut jc[li mz[ng ti[ra 	社交媒體	c=1 d=1 t=955
ue[yj d;[gp 	設定	c=2 d=1.9802 t=1808
ue[yj ji[yu 	設計	c=1 d=1 t=136
uf[go he[aw 	審覈	c=1 d=1 t=267
uf[ou q;[yf 	申請	c=2 d=1.90032 t=74
uf[ou q;[yf bc[fy 	申請表	c=1 d=1 t=113
uf[qv vi[ht 	甚至	c=2 d=1.01343 t=1462
uf[ru me[ps 	什麼	c=11 d=2.96763 t=1815
ug[pf ig[wv 	生成	c=8 d=2.2952 t=1972
ug[pf ig[wv mo[ac ui[qg 	生成模式	c=1 d=1 t=1805
ug[pf y;[eh 	生硬	c=1 d=1 t=21
ug[xm lq[dw 	省流	c=1 d=1 t=1909
ug[xm lt[tw 	省略	c=0 d=0.1 t=440
ug[xm lt[tw dc[fb 	省略掉	c=3 d=2.96042 t=446
uh[bh 	上	c=0 d=0.1 t=582
uh[bh ci[dd 	上次	c=1 d=1 t=1257
uh[bh ge[ru yt[ke 	上個月	c=1 d=1 t=238
uh[bh hl[dr 	上海	c=2 d=1.14442 t=1243
uh[bh ll[hm 	上來	c=1 d=1 t=749
uh[bh mm[ew 	上面	c=2 d=1.00309 t=1862
uh[bh qu[ts 	上去	c=1 d=0.871052 t=996
uh[bh vb[kt 	上週	c=3 d=1.01548 t=1276
uh[bh xm[sj 	上線	c=4 d=2.44193 t=1021
uh[bh xm[sj qu[ts 	上線去	c=1 d=1 t=1022
uh[bh xw[hb wf[wi 	上下文	c=1 d=1 t=202
uh[bh yi[hh ge[ru 	上一個	c=1 d=1 t=1851
uh[lk ld[oh 	商量	c=1 d=1 t=959
uh[lk ye[ub hw[rq 	商業化	c=1 d=1 t=841
ui[ex li[rh 	示例	c=1 d=1 t=1724
ui[gd ji[ee uh[bh 	實際上	c=1 d=1 t=1955
ui[gd ui[oc 	實時	c=4 d=1.27771 t=1164
ui[gd xm[wj 	實現	c=2 d=1.00687 t=1900
ui[gd yj[mr 	實驗	c=1 d=1 t=1566
ui[gd yj[mr ui[gh 	實驗室	c=1 d=1 t=49
ui[hk 	事	c=1 d=1 t=1628
ui[hk q;[xf 	事情	c=4 d=1.72157 t=1686
ui[hu wu[hu 	十五	c=1 d=1 t=434
ui[nv jx[tr 	世界	c=1 d=1 t=1107
ui[oc hb[ru 	時候	c=1 d=1 t=1919
ui[oc jm[mo 	時間	c=4 d=1.6899 t=1399
ui[pe qu[ts 	失去	c=1 d=1 t=103
ui[rh ys[ou 	使用	c=9 d=4.31714 t=1953
ui[uj pn[vy 	視頻	c=23 d=9.37749 t=1507
ui[yk bx[kd 	識別	c=10 d=1.44454 t=1038
ui[yk bx[kd iu[ck 	識別出	c=1 d=1 t=636
ui[yq ui[yq 	試試	c=1 d=1 t=1491
uj[fw ih[ph 	擅長	c=2 d=1.98511 t=683
uk[xp 	少	c=0 d=0.1 t=195
uo[yb 	說	c=0 d=0.1 t=1645
uu[ir 	輸	c=1 d=1 t=1168
uu[ir iu[ck 	輸出	c=2 d=1.91393 t=1477
uu[ir ru[pd 	輸入	c=2 d=1.98511 t=1620
uu[mw ju[fu 	數據	c=27 d=6.09736 t=1543
uu[mw ju[fu cl[aa ji[va 	數據採集	c=1 d=1 t=788
uu[mw ju[fu ji[hk lz[ty 	數據積累	c=1 d=1 t=989
uu[mw ju[fu ji[va 	數據集	c=1 d=1 t=1040
uu[mw ju[fu ld[oh 	數據量	c=3 d=2.34743 t=1497
uu[mw ld[oh 	數量	c=1 d=1.05461 t=1593
uu[mw zi[gz 	數字	c=2 d=1.87372 t=459
uu[ru 	倏	c=-1 d=0.249075 t=1616
uu[vv ji[yk 	書記	c=1 d=1 t=932
uv[uu p;[hb 	水平	c=1 d=1 t=875
uv[uu p;[hb gk[wk 	水平高	c=1 d=1 t=220
uv[yv 	誰	c=1 d=1 t=1072
vb[kt 	周	c=2 d=1.31664 t=379
vb[kt si[we 	週四	c=1 d=1 t=231
vb[kt sj[hh 	週三	c=1 d=1 t=227
vb[kt wu[hu 	週五	c=1 d=1 t=232
vb[kt yi[hh 	週一	c=1 d=1 t=226
vd[dq tl[dx lj[ab 	狀態欄	c=1 d=1 t=1782
vd[fl ie[qu 	撞車	c=1 d=1 t=1391
ve[uu 	喆	c=1 d=1 t=1235
ve[wz bm[lz 	這邊	c=1 d=1 t=259
ve[wz ge[ru 	這個	c=13 d=2.24478 t=1944
ve[wz ge[ru yt[ke 	這個月	c=1 d=1 t=211
ve[wz ji[pv tm[hd 	這幾天	c=1 d=1 t=1264
ve[wz me[ps do[xx 	這麼多	c=2 d=1.77492 t=1681
ve[wz ui[op 	這是	c=2 d=1.03439 t=1910
ve[wz ui[op yi[hh vs[hv 	這是一種	c=1 d=1 t=1896
ve[wz vb[kt 	這周	c=2 d=1.04016 t=1193
ve[wz xx[ve 	這些	c=2 d=1.05105 t=1828
ve[wz xx[ve rf[pd 	這些人	c=1 d=1 t=1232
ve[wz yh[ay 	這樣	c=1 d=1 t=759
vf[uj ig[yw 	真誠	c=1 d=1 t=3
vf[uj ui[op 	真是	c=2 d=1.99501 t=40
vf[uj vg[hv 	真正	c=2 d=1.00005 t=1986
vg[hh ge[ru 	整個	c=1 d=1 t=440
vg[hh li[wo 	整理	c=1 d=1.00025 t=1743
vg[hh li[wo yi[hh ge[ru 	整理一個	c=1 d=1 t=547
vg[hv 	正	c=0 d=0.1 t=1741
vg[hv ih[xk ug[pf ho[dq 	正常生活	c=1 d=1 t=832
vg[hv li[wo iu[ck 	正理出	c=1 d=1 t=1742
vg[hv qt[ed 	正確	c=2 d=1.00433 t=1893
vg[hv qt[ed uu[mw ju[fu 	正確數據	c=1 d=1 t=792
vg[hv zl[ut 	正在	c=2 d=1.67032 t=266
vg[hw fu[gr 	政府	c=2 d=1.89583 t=1027
vg[yh m;[oo 	證明	c=1 d=1 t=660
vh[bi 	賬	c=1 d=1 t=1115
vh[bi hk[kk 	賬號	c=2 d=1.02472 t=871
vh[gi 	張	c=1 d=1 t=1579
vh[ji hk[kk 	帳號	c=1 d=1 t=130
vi[dv hb[pk 	之後	c=4 d=1.37006 t=1177
vi[dv qm[bo 	之前	c=2 d=1.11533 t=927
vi[dv wl[xb 	之外	c=1 d=1 t=343
vi[fb 	指	c=1 d=1 t=687
vi[fb vf[ju 	指針	c=2 d=2.06217 t=1918
vi[fb xd[pk 	指向	c=4 d=3.02039 t=1973
vi[fb xd[pk zi[pm ji[kv 	指向自己	c=1 d=1 t=1974
vi[fj vo[ym 	執着	c=1 d=1 t=64
vi[kb ng[sb 	只能	c=2 d=1.36972 t=414
vi[kb ui[op 	只是	c=2 d=1.23457 t=1120
vi[kb ui[op ge[ru 	只是個	c=1 d=1 t=574
vi[kb yb[uo 	只有	c=2 d=1.15259 t=1231
vi[kb yk[xn 	只要	c=1 d=1 t=893
vi[kb ys[ou 	只用	c=1 d=1 t=715
vi[uj jx[fl 	直接	c=4 d=2.72952 t=1408
vi[uj yi[yy 	直譯	c=1 d=1 t=477
vi[uk dk[bz 	知道	c=1 d=1 t=511
vi[uk ui[yk 	知識	c=2 d=1.23693 t=1119
vi[uo ng[sb 	智能	c=1 d=0.100564 t=1911
vi[uo ng[sb vi[fb vf[ju 	智能指針	c=4 d=3.69973 t=1946
vi[uy ig[fx 	支撐	c=1 d=1 t=1003
vk[fd pl[pb 	招牌	c=1 d=1 t=1092
vk[fg dk[hd 	找到	c=4 d=2.48749 t=1824
vk[fg iu[ck 	找出	c=1 d=1 t=417
vk[fg rf[pd 	找人	c=1 d=1 t=925
vk[fg yi[hh xw[hb 	找一下	c=1 d=1 t=451
vp[dv bz[wt 	準備	c=1 d=1 t=1144
vp[dv qt[ed 	準確	c=1 d=1 t=610
vp[dv qt[ed du[gn 	準確度	c=1 d=1 t=623
vp[dv qt[ed ly[wu 	準確率	c=1 d=1 t=996
vr[ev jw[gu 	專家	c=1 d=1 t=1454
vr[ev ye[ub 	專業	c=1 d=1.05247 t=820
vr[ev ye[ub ci[yv hv[dk 	專業詞彙	c=1 d=1 t=692
vr[ie or[ek 	轉而	c=1 d=1 t=1923
vs[ku li[lh 	中立	c=1 d=1 t=104
vs[ku wf[wi 	中文	c=2 d=1.9802 t=1560
vs[ku xn[dv 	中心	c=0 d=0.1 t=110
vs[ph li[vp 	重力	c=1 d=1 t=105
vs[sw dr[lu 	終端	c=1 d=1 t=1877
vu[dd yi[lx 	注意	c=3 d=1.95931 t=1861
vu[dd yi[lx yi[hh dm[bd 	注意一點	c=0 d=0.1 t=1832
vu[dw ds[el 	主動	c=2 d=1.01777 t=1613
vu[dw rf[rq 	主任	c=1 d=1 t=125
vu[dw yk[xn 	主要	c=3 d=1.52426 t=1315
vu[ku 	囑	c=1 d=1 t=1314
vu[ql xt[xz 	助學	c=2 d=1.91393 t=72
vu[ql xt[xz jn[rw 	助學金	c=1 d=1 t=114
vu[rd 	住	c=3 d=2.98361 t=1660
vu[rd bu[eu qi[zk 	住不起	c=1 d=1 t=1661
vu[uz 	逐	c=1 d=1 t=709
vu[uz ci[yv 	逐詞	c=2 d=1.97531 t=725
wf[mk ti[oy 	問題	c=12 d=1.27963 t=1852
wf[wi bf[ah 	文本	c=1 d=1 t=1510
wf[wi jm[rn 	文件	c=6 d=5.08264 t=1867
wf[wi jm[rn jw[hb 	文件夾	c=2 d=1.5975 t=1843
wf[wi zi[gz 	文字	c=1 d=1 t=529
wh[ki hs[sg 	網紅	c=2 d=1.52466 t=1089
wh[ki uh[bh 	網上	c=1 d=1 t=775
wh[ki vj[lb 	網站	c=2 d=1.01515 t=908
wh[rd 	往	c=1 d=1 t=359
wh[su lk[tb ui[uh 	王老師	c=1 d=1 t=1251
wj[ge 	完	c=2 d=1.04285 t=782
wj[ge ig[wv 	完成	c=1 d=1 t=562
wj[ge uj[yk 	完善	c=1 d=1 t=849
wj[od yi[hh dm[bd 	晚一點	c=1 d=1 t=1194
wl[xb wh[ki 	外網	c=1 d=1 t=1346
wo[pf de[bb 	我的	c=1 d=1 t=6
wo[pf hy[xb 	我懷	c=1 d=1 t=1632
wo[pf jd[dx 	我將	c=1 d=1 t=22
wo[pf mf[rm 	我們	c=22 d=2.50464 t=1941
wo[pf xd[ax 	我想	c=1 d=1 t=1713
wo[pf xd[ax zo[rg 	我想做	c=1 d=1 t=740
wu[ee fa[dt 	無法	c=1 d=1 t=423
wu[ee gr[bt 	無關	c=1 d=1 t=1476
wu[gr 	巫	c=1 d=1 t=1475
wu[hu lq[wb ui[hu 	五六十	c=1 d=1 t=254
wz[dl le[vu 	爲了	c=1 d=1 t=1938
wz[ha ll[hm 	未來	c=1 d=1 t=1066
wz[kv du[qi 	唯獨	c=1 d=1 t=582
wz[kv yi[hh 	唯一	c=1 d=1 t=1598
wz[rl 	位	c=1 d=1 t=169
wz[rl vi[su 	位置	c=2 d=1.00304 t=1848
wz[ru xc[vp 	微笑	c=1 d=1 t=493
wz[ru xn[ry 	微信	c=0 d=0.1 t=917
wz[ru xn[ry dg[dd lu[xu 	微信登錄	c=1 d=1 t=918
wz[sv 	維	c=1 d=1 t=1500
wz[sv du[gn 	維度	c=1 d=1.00196 t=1368
wz[sv du[gn uh[bh 	維度上	c=1 d=1 t=583
x;[kp ui[qg 	形式	c=0 d=0.1 t=217
x;[rh vg[hw 	行政	c=0 d=0.1 t=110
x;[rh vg[hw vs[ku xn[dv 	行政中心	c=1 d=1 t=111
x;[xb qu[ze 	興趣	c=1 d=1 t=67
xc[dx xi[zx 	消息	c=1 d=1 t=260
xc[lw go[oa 	效果	c=1 d=1.08694 t=1113
xc[ub 	小	c=0 d=0.1 t=1497
xc[ub ig[hk xu[gy 	小程序	c=5 d=1.30508 t=1610
xc[ub ny[vp ug[pf 	小女生	c=1 d=1 t=90
xc[ub rf[pd 	小人	c=3 d=2.95084 t=703
xc[ub ui[oc 	小時	c=2 d=1.95123 t=255
